item_id,feature_id,data
0,0,1
0,1,1
1,0,1
1,3,1
2,0,21
2,4,1
3,0,1
3,1,1
4,0,1
4,3,1
5,0,1
5,2,1
6,0,1
6,1,1
7,0,1
7,3,1
8,0,1
8,1,1
10,0,3
10,1,1
11,0,1
11,1,1
12,0,1
12,1,1
13,0,1
13,3,1
15,0,1
15,1,1
16,0,3
16,1,1
17,0,1
17,3,1
18,0,2
18,1,1
19,0,1
19,1,1
20,0,14
20,4,1
21,0,27
21,4,1
22,0,1
22,2,1
25,0,1
25,3,1
26,0,3
26,1,1
27,0,3
27,1,1
28,0,21
28,4,1
30,0,1
30,3,1
31,0,11
31,4,1
33,0,1
33,1,1
35,0,2
35,1,1
36,0,3
36,1,1
37,0,26
37,4,1
38,0,27
38,4,1
39,0,1
39,1,1
40,0,14
40,4,1
41,0,1
41,3,1
42,0,1
42,2,1
43,0,13
43,4,1
44,0,1
44,3,1
46,0,31
46,4,1
47,0,3
47,4,1
48,0,3
48,4,1
49,0,11
49,4,1
51,0,9
51,4,1
52,0,9
52,4,1
53,0,1
53,3,1
54,0,1
54,1,1
55,0,1
55,3,1
56,0,1
56,3,1
57,0,11
57,4,1
58,0,3
58,4,1
59,0,1
59,1,1
61,0,1
61,1,1
62,0,11
62,4,1
63,0,1
63,3,1
65,0,1
65,1,1
67,0,1
67,1,1
68,0,1
68,3,1
69,0,21
69,4,1
70,0,3
70,1,1
71,0,11
71,4,1
72,0,1
72,3,1
73,0,3
73,1,1
75,0,11
75,4,1
76,0,1
76,3,1
77,0,21
77,4,1
79,0,1
79,1,1
80,0,2
80,1,1
81,0,1
81,2,1
82,0,2
82,1,1
83,0,14
83,4,1
84,0,1
84,1,1
86,0,6
86,4,1
87,0,25
87,4,1
88,0,7
88,4,1
89,0,1
89,1,1
93,0,1
93,1,1
94,0,58
94,4,1
95,0,1
95,1,1
96,0,1
96,3,1
97,0,27
97,7,1
98,0,1
98,3,1
99,0,1
99,1,1
100,0,1
100,3,1
102,0,1
102,3,1
