SearchBayesianSkopt: New best config found. Config 0: {'num_factors': 33} - results: PRECISION: 0.0252707, PRECISION_RECALL_MIN_DEN: 0.0466731, RECALL: 0.0443830, MAP: 0.0107460, MAP_MIN_DEN: 0.0196231, MRR: 0.0837180, NDCG: 0.0412209, F1: 0.0322048, HIT_RATE: 0.1966113, ARHR_ALL_HITS: 0.0943697, NOVELTY: 0.0041310, AVERAGE_POPULARITY: 0.1617287, DIVERSITY_MEAN_INTER_LIST: 0.9221194, DIVERSITY_HERFINDAHL: 0.9922096, COVERAGE_ITEM: 0.0143632, COVERAGE_ITEM_HIT: 0.0116701, ITEMS_IN_GT: 0.9860040, COVERAGE_USER: 0.9626462, COVERAGE_USER_HIT: 0.1892671, USERS_IN_GT: 0.9626462, DIVERSITY_GINI: 0.0050493, SHANNON_ENTROPY: 7.3624500, RATIO_DIVERSITY_HERFINDAHL: 0.9925382, RATIO_DIVERSITY_GINI: 0.0099757, RATIO_SHANNON_ENTROPY: 0.5457101, RATIO_AVERAGE_POPULARITY: 3.2105167, RATIO_NOVELTY: 0.2781101, 
SearchBayesianSkopt: New best config found. Config 1: {'num_factors': 30} - results: PRECISION: 0.0253805, PRECISION_RECALL_MIN_DEN: 0.0468931, RECALL: 0.0446061, MAP: 0.0108560, MAP_MIN_DEN: 0.0198803, MRR: 0.0846718, NDCG: 0.0416211, F1: 0.0323527, HIT_RATE: 0.1975346, ARHR_ALL_HITS: 0.0954310, NOVELTY: 0.0041094, AVERAGE_POPULARITY: 0.1682646, DIVERSITY_MEAN_INTER_LIST: 0.9181928, DIVERSITY_HERFINDAHL: 0.9918170, COVERAGE_ITEM: 0.0137920, COVERAGE_ITEM_HIT: 0.0111397, ITEMS_IN_GT: 0.9860040, COVERAGE_USER: 0.9626462, COVERAGE_USER_HIT: 0.1901559, USERS_IN_GT: 0.9626462, DIVERSITY_GINI: 0.0048279, SHANNON_ENTROPY: 7.2952357, RATIO_DIVERSITY_HERFINDAHL: 0.9921454, RATIO_DIVERSITY_GINI: 0.0095382, RATIO_SHANNON_ENTROPY: 0.5407281, RATIO_AVERAGE_POPULARITY: 3.3402613, RATIO_NOVELTY: 0.2766538, 
SearchBayesianSkopt: New best config found. Config 2: {'num_factors': 31} - results: PRECISION: 0.0255752, PRECISION_RECALL_MIN_DEN: 0.0469048, RECALL: 0.0445992, MAP: 0.0108858, MAP_MIN_DEN: 0.0198775, MRR: 0.0846326, NDCG: 0.0416747, F1: 0.0325085, HIT_RATE: 0.1985826, ARHR_ALL_HITS: 0.0954891, NOVELTY: 0.0041183, AVERAGE_POPULARITY: 0.1661883, DIVERSITY_MEAN_INTER_LIST: 0.9210189, DIVERSITY_HERFINDAHL: 0.9920996, COVERAGE_ITEM: 0.0140368, COVERAGE_ITEM_HIT: 0.0110581, ITEMS_IN_GT: 0.9860040, COVERAGE_USER: 0.9626462, COVERAGE_USER_HIT: 0.1911648, USERS_IN_GT: 0.9626462, DIVERSITY_GINI: 0.0049522, SHANNON_ENTROPY: 7.3336282, RATIO_DIVERSITY_HERFINDAHL: 0.9924281, RATIO_DIVERSITY_GINI: 0.0097838, RATIO_SHANNON_ENTROPY: 0.5435738, RATIO_AVERAGE_POPULARITY: 3.2990453, RATIO_NOVELTY: 0.2772551, 
SearchBayesianSkopt: Config 3 was already explored at index 0. Config: {'num_factors': 33} - results: PRECISION: 0.0252707, PRECISION_RECALL_MIN_DEN: 0.0466731, RECALL: 0.0443830, MAP: 0.0107460, MAP_MIN_DEN: 0.0196231, MRR: 0.0837180, NDCG: 0.0412209, F1: 0.0322048, HIT_RATE: 0.1966113, ARHR_ALL_HITS: 0.0943697, NOVELTY: 0.0041310, AVERAGE_POPULARITY: 0.1617287, DIVERSITY_MEAN_INTER_LIST: 0.9221194, DIVERSITY_HERFINDAHL: 0.9922096, COVERAGE_ITEM: 0.0143632, COVERAGE_ITEM_HIT: 0.0116701, ITEMS_IN_GT: 0.9860040, COVERAGE_USER: 0.9626462, COVERAGE_USER_HIT: 0.1892671, USERS_IN_GT: 0.9626462, DIVERSITY_GINI: 0.0050493, SHANNON_ENTROPY: 7.3624500, RATIO_DIVERSITY_HERFINDAHL: 0.9925382, RATIO_DIVERSITY_GINI: 0.0099757, RATIO_SHANNON_ENTROPY: 0.5457101, RATIO_AVERAGE_POPULARITY: 3.2105167, RATIO_NOVELTY: 0.2781101, 
SearchBayesianSkopt: Config 4 was already explored at index 2. Config: {'num_factors': 31} - results: PRECISION: 0.0255752, PRECISION_RECALL_MIN_DEN: 0.0469048, RECALL: 0.0445992, MAP: 0.0108858, MAP_MIN_DEN: 0.0198775, MRR: 0.0846326, NDCG: 0.0416747, F1: 0.0325085, HIT_RATE: 0.1985826, ARHR_ALL_HITS: 0.0954891, NOVELTY: 0.0041183, AVERAGE_POPULARITY: 0.1661883, DIVERSITY_MEAN_INTER_LIST: 0.9210189, DIVERSITY_HERFINDAHL: 0.9920996, COVERAGE_ITEM: 0.0140368, COVERAGE_ITEM_HIT: 0.0110581, ITEMS_IN_GT: 0.9860040, COVERAGE_USER: 0.9626462, COVERAGE_USER_HIT: 0.1911648, USERS_IN_GT: 0.9626462, DIVERSITY_GINI: 0.0049522, SHANNON_ENTROPY: 7.3336282, RATIO_DIVERSITY_HERFINDAHL: 0.9924281, RATIO_DIVERSITY_GINI: 0.0097838, RATIO_SHANNON_ENTROPY: 0.5435738, RATIO_AVERAGE_POPULARITY: 3.2990453, RATIO_NOVELTY: 0.2772551, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'num_factors': 35} - results: PRECISION: 0.0250287, PRECISION_RECALL_MIN_DEN: 0.0461878, RECALL: 0.0439390, MAP: 0.0106386, MAP_MIN_DEN: 0.0194352, MRR: 0.0830866, NDCG: 0.0408527, F1: 0.0318913, HIT_RATE: 0.1950891, ARHR_ALL_HITS: 0.0935450, NOVELTY: 0.0041353, AVERAGE_POPULARITY: 0.1606836, DIVERSITY_MEAN_INTER_LIST: 0.9221702, DIVERSITY_HERFINDAHL: 0.9922147, COVERAGE_ITEM: 0.0153426, COVERAGE_ITEM_HIT: 0.0116701, ITEMS_IN_GT: 0.9860040, COVERAGE_USER: 0.9626462, COVERAGE_USER_HIT: 0.1878018, USERS_IN_GT: 0.9626462, DIVERSITY_GINI: 0.0051065, SHANNON_ENTROPY: 7.3782866, RATIO_DIVERSITY_HERFINDAHL: 0.9925432, RATIO_DIVERSITY_GINI: 0.0100885, RATIO_SHANNON_ENTROPY: 0.5468839, RATIO_AVERAGE_POPULARITY: 3.1897706, RATIO_NOVELTY: 0.2783970, 
SearchBayesianSkopt: Config 6 was already explored at index 0. Config: {'num_factors': 33} - results: PRECISION: 0.0252707, PRECISION_RECALL_MIN_DEN: 0.0466731, RECALL: 0.0443830, MAP: 0.0107460, MAP_MIN_DEN: 0.0196231, MRR: 0.0837180, NDCG: 0.0412209, F1: 0.0322048, HIT_RATE: 0.1966113, ARHR_ALL_HITS: 0.0943697, NOVELTY: 0.0041310, AVERAGE_POPULARITY: 0.1617287, DIVERSITY_MEAN_INTER_LIST: 0.9221194, DIVERSITY_HERFINDAHL: 0.9922096, COVERAGE_ITEM: 0.0143632, COVERAGE_ITEM_HIT: 0.0116701, ITEMS_IN_GT: 0.9860040, COVERAGE_USER: 0.9626462, COVERAGE_USER_HIT: 0.1892671, USERS_IN_GT: 0.9626462, DIVERSITY_GINI: 0.0050493, SHANNON_ENTROPY: 7.3624500, RATIO_DIVERSITY_HERFINDAHL: 0.9925382, RATIO_DIVERSITY_GINI: 0.0099757, RATIO_SHANNON_ENTROPY: 0.5457101, RATIO_AVERAGE_POPULARITY: 3.2105167, RATIO_NOVELTY: 0.2781101, 
SearchBayesianSkopt: Config 7 was already explored at index 1. Config: {'num_factors': 30} - results: PRECISION: 0.0253805, PRECISION_RECALL_MIN_DEN: 0.0468931, RECALL: 0.0446061, MAP: 0.0108560, MAP_MIN_DEN: 0.0198803, MRR: 0.0846718, NDCG: 0.0416211, F1: 0.0323527, HIT_RATE: 0.1975346, ARHR_ALL_HITS: 0.0954310, NOVELTY: 0.0041094, AVERAGE_POPULARITY: 0.1682646, DIVERSITY_MEAN_INTER_LIST: 0.9181928, DIVERSITY_HERFINDAHL: 0.9918170, COVERAGE_ITEM: 0.0137920, COVERAGE_ITEM_HIT: 0.0111397, ITEMS_IN_GT: 0.9860040, COVERAGE_USER: 0.9626462, COVERAGE_USER_HIT: 0.1901559, USERS_IN_GT: 0.9626462, DIVERSITY_GINI: 0.0048279, SHANNON_ENTROPY: 7.2952357, RATIO_DIVERSITY_HERFINDAHL: 0.9921454, RATIO_DIVERSITY_GINI: 0.0095382, RATIO_SHANNON_ENTROPY: 0.5407281, RATIO_AVERAGE_POPULARITY: 3.3402613, RATIO_NOVELTY: 0.2766538, 
SearchBayesianSkopt: Config 8 was already explored at index 2. Config: {'num_factors': 31} - results: PRECISION: 0.0255752, PRECISION_RECALL_MIN_DEN: 0.0469048, RECALL: 0.0445992, MAP: 0.0108858, MAP_MIN_DEN: 0.0198775, MRR: 0.0846326, NDCG: 0.0416747, F1: 0.0325085, HIT_RATE: 0.1985826, ARHR_ALL_HITS: 0.0954891, NOVELTY: 0.0041183, AVERAGE_POPULARITY: 0.1661883, DIVERSITY_MEAN_INTER_LIST: 0.9210189, DIVERSITY_HERFINDAHL: 0.9920996, COVERAGE_ITEM: 0.0140368, COVERAGE_ITEM_HIT: 0.0110581, ITEMS_IN_GT: 0.9860040, COVERAGE_USER: 0.9626462, COVERAGE_USER_HIT: 0.1911648, USERS_IN_GT: 0.9626462, DIVERSITY_GINI: 0.0049522, SHANNON_ENTROPY: 7.3336282, RATIO_DIVERSITY_HERFINDAHL: 0.9924281, RATIO_DIVERSITY_GINI: 0.0097838, RATIO_SHANNON_ENTROPY: 0.5435738, RATIO_AVERAGE_POPULARITY: 3.2990453, RATIO_NOVELTY: 0.2772551, 
SearchBayesianSkopt: Config 9 was already explored at index 2. Config: {'num_factors': 31} - results: PRECISION: 0.0255752, PRECISION_RECALL_MIN_DEN: 0.0469048, RECALL: 0.0445992, MAP: 0.0108858, MAP_MIN_DEN: 0.0198775, MRR: 0.0846326, NDCG: 0.0416747, F1: 0.0325085, HIT_RATE: 0.1985826, ARHR_ALL_HITS: 0.0954891, NOVELTY: 0.0041183, AVERAGE_POPULARITY: 0.1661883, DIVERSITY_MEAN_INTER_LIST: 0.9210189, DIVERSITY_HERFINDAHL: 0.9920996, COVERAGE_ITEM: 0.0140368, COVERAGE_ITEM_HIT: 0.0110581, ITEMS_IN_GT: 0.9860040, COVERAGE_USER: 0.9626462, COVERAGE_USER_HIT: 0.1911648, USERS_IN_GT: 0.9626462, DIVERSITY_GINI: 0.0049522, SHANNON_ENTROPY: 7.3336282, RATIO_DIVERSITY_HERFINDAHL: 0.9924281, RATIO_DIVERSITY_GINI: 0.0097838, RATIO_SHANNON_ENTROPY: 0.5435738, RATIO_AVERAGE_POPULARITY: 3.2990453, RATIO_NOVELTY: 0.2772551, 
SearchBayesianSkopt: Search complete. Best config is 2: {'num_factors': 31}
