SearchBayesianSkopt: New best config found. Config 0: {'alpha': 0.32608564773252674, 'beta': 0.27458231803951466, 'topK': 432, 'implicit': True} - results: PRECISION: 0.0369754, PRECISION_RECALL_MIN_DEN: 0.0716020, RECALL: 0.0687944, MAP: 0.0164596, MAP_MIN_DEN: 0.0315123, MRR: 0.1243544, NDCG: 0.0710434, F1: 0.0480988, HIT_RATE: 0.2765241, ARHR_ALL_HITS: 0.1424863, NOVELTY: 0.0040926, AVERAGE_POPULARITY: 0.2782012, DIVERSITY_MEAN_INTER_LIST: 0.8494193, DIVERSITY_HERFINDAHL: 0.9849398, COVERAGE_ITEM: 0.4219203, COVERAGE_ITEM_HIT: 0.0416616, ITEMS_IN_GT: 0.9870241, COVERAGE_USER: 0.9633909, COVERAGE_USER_HIT: 0.2664008, USERS_IN_GT: 0.9633909, DIVERSITY_GINI: 0.0217745, SHANNON_ENTROPY: 7.9117567, RATIO_DIVERSITY_HERFINDAHL: 0.9852655, RATIO_DIVERSITY_GINI: 0.0430686, RATIO_SHANNON_ENTROPY: 0.5864891, RATIO_AVERAGE_POPULARITY: 5.4426344, RATIO_NOVELTY: 0.2755545, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'alpha': 0.46878517928343744, 'beta': 0.9332538078136121, 'topK': 744, 'implicit': True} - results: PRECISION: 0.0174567, PRECISION_RECALL_MIN_DEN: 0.0295176, RECALL: 0.0277077, MAP: 0.0073757, MAP_MIN_DEN: 0.0125421, MRR: 0.0572332, NDCG: 0.0307858, F1: 0.0214188, HIT_RATE: 0.1351702, ARHR_ALL_HITS: 0.0646738, NOVELTY: 0.0059958, AVERAGE_POPULARITY: 0.0198476, DIVERSITY_MEAN_INTER_LIST: 0.9948612, DIVERSITY_HERFINDAHL: 0.9994836, COVERAGE_ITEM: 0.8096054, COVERAGE_ITEM_HIT: 0.0656955, ITEMS_IN_GT: 0.9870241, COVERAGE_USER: 0.9633909, COVERAGE_USER_HIT: 0.1302217, USERS_IN_GT: 0.9633909, DIVERSITY_GINI: 0.2447670, SHANNON_ENTROPY: 12.6642378, RATIO_DIVERSITY_HERFINDAHL: 0.9998141, RATIO_DIVERSITY_GINI: 0.4841339, RATIO_SHANNON_ENTROPY: 0.9387848, RATIO_AVERAGE_POPULARITY: 0.3882923, RATIO_NOVELTY: 0.4036961, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'alpha': 0.7000397680192371, 'beta': 0.682301319897698, 'topK': 453, 'implicit': False} - results: PRECISION: 0.0323127, PRECISION_RECALL_MIN_DEN: 0.0600926, RECALL: 0.0574729, MAP: 0.0138356, MAP_MIN_DEN: 0.0255680, MRR: 0.1045866, NDCG: 0.0630523, F1: 0.0413675, HIT_RATE: 0.2422890, ARHR_ALL_HITS: 0.1198039, NOVELTY: 0.0048809, AVERAGE_POPULARITY: 0.1403738, DIVERSITY_MEAN_INTER_LIST: 0.9475980, DIVERSITY_HERFINDAHL: 0.9947574, COVERAGE_ITEM: 0.7800220, COVERAGE_ITEM_HIT: 0.0554535, ITEMS_IN_GT: 0.9870241, COVERAGE_USER: 0.9633909, COVERAGE_USER_HIT: 0.2334190, USERS_IN_GT: 0.9633909, DIVERSITY_GINI: 0.1246352, SHANNON_ENTROPY: 10.4083166, RATIO_DIVERSITY_HERFINDAHL: 0.9950864, RATIO_DIVERSITY_GINI: 0.2465205, RATIO_SHANNON_ENTROPY: 0.7715561, RATIO_AVERAGE_POPULARITY: 2.7462262, RATIO_NOVELTY: 0.3286299, 
SearchBayesianSkopt: New best config found. Config 3: {'alpha': 0.3366899663913591, 'beta': 0.47983234358078597, 'topK': 101, 'implicit': True} - results: PRECISION: 0.0381922, PRECISION_RECALL_MIN_DEN: 0.0721207, RECALL: 0.0691172, MAP: 0.0172230, MAP_MIN_DEN: 0.0321773, MRR: 0.1268829, NDCG: 0.0732665, F1: 0.0491987, HIT_RATE: 0.2790924, ARHR_ALL_HITS: 0.1471289, NOVELTY: 0.0045594, AVERAGE_POPULARITY: 0.1669977, DIVERSITY_MEAN_INTER_LIST: 0.9562526, DIVERSITY_HERFINDAHL: 0.9956229, COVERAGE_ITEM: 0.6601787, COVERAGE_ITEM_HIT: 0.0623087, ITEMS_IN_GT: 0.9870241, COVERAGE_USER: 0.9633909, COVERAGE_USER_HIT: 0.2688751, USERS_IN_GT: 0.9633909, DIVERSITY_GINI: 0.0676527, SHANNON_ENTROPY: 9.8721356, RATIO_DIVERSITY_HERFINDAHL: 0.9959521, RATIO_DIVERSITY_GINI: 0.1338128, RATIO_SHANNON_ENTROPY: 0.7318096, RATIO_AVERAGE_POPULARITY: 3.2670869, RATIO_NOVELTY: 0.3069792, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'alpha': 0.7182154609766359, 'beta': 0.016161368303486693, 'topK': 447, 'implicit': False} - results: PRECISION: 0.0360578, PRECISION_RECALL_MIN_DEN: 0.0695196, RECALL: 0.0667478, MAP: 0.0154056, MAP_MIN_DEN: 0.0293167, MRR: 0.1163682, NDCG: 0.0679942, F1: 0.0468220, HIT_RATE: 0.2701907, ARHR_ALL_HITS: 0.1333801, NOVELTY: 0.0039821, AVERAGE_POPULARITY: 0.2906886, DIVERSITY_MEAN_INTER_LIST: 0.8411155, DIVERSITY_HERFINDAHL: 0.9841094, COVERAGE_ITEM: 0.0955237, COVERAGE_ITEM_HIT: 0.0311340, ITEMS_IN_GT: 0.9870241, COVERAGE_USER: 0.9633909, COVERAGE_USER_HIT: 0.2602993, USERS_IN_GT: 0.9633909, DIVERSITY_GINI: 0.0069136, SHANNON_ENTROPY: 7.3275861, RATIO_DIVERSITY_HERFINDAHL: 0.9844349, RATIO_DIVERSITY_GINI: 0.0136746, RATIO_SHANNON_ENTROPY: 0.5431852, RATIO_AVERAGE_POPULARITY: 5.6869345, RATIO_NOVELTY: 0.2681152, 
SearchBayesianSkopt: New best config found. Config 5: {'alpha': 0.33242810947284945, 'beta': 0.32837765689407655, 'topK': 47, 'implicit': False} - results: PRECISION: 0.0382122, PRECISION_RECALL_MIN_DEN: 0.0720958, RECALL: 0.0690887, MAP: 0.0173446, MAP_MIN_DEN: 0.0326110, MRR: 0.1282787, NDCG: 0.0730362, F1: 0.0492080, HIT_RATE: 0.2802892, ARHR_ALL_HITS: 0.1484789, NOVELTY: 0.0046670, AVERAGE_POPULARITY: 0.1500001, DIVERSITY_MEAN_INTER_LIST: 0.9668996, DIVERSITY_HERFINDAHL: 0.9966876, COVERAGE_ITEM: 0.7197127, COVERAGE_ITEM_HIT: 0.0679806, ITEMS_IN_GT: 0.9870241, COVERAGE_USER: 0.9633909, COVERAGE_USER_HIT: 0.2700281, USERS_IN_GT: 0.9633909, DIVERSITY_GINI: 0.0840441, SHANNON_ENTROPY: 10.3069729, RATIO_DIVERSITY_HERFINDAHL: 0.9970171, RATIO_DIVERSITY_GINI: 0.1662339, RATIO_SHANNON_ENTROPY: 0.7640436, RATIO_AVERAGE_POPULARITY: 2.9345511, RATIO_NOVELTY: 0.3142284, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'alpha': 0.36365787677088995, 'beta': 0.7413927657834508, 'topK': 687, 'implicit': False} - results: PRECISION: 0.0309213, PRECISION_RECALL_MIN_DEN: 0.0561567, RECALL: 0.0535566, MAP: 0.0133523, MAP_MIN_DEN: 0.0240524, MRR: 0.1002487, NDCG: 0.0574357, F1: 0.0392065, HIT_RATE: 0.2307942, ARHR_ALL_HITS: 0.1152253, NOVELTY: 0.0051819, AVERAGE_POPULARITY: 0.0896525, DIVERSITY_MEAN_INTER_LIST: 0.9793867, DIVERSITY_HERFINDAHL: 0.9979362, COVERAGE_ITEM: 0.8566940, COVERAGE_ITEM_HIT: 0.0678174, ITEMS_IN_GT: 0.9870241, COVERAGE_USER: 0.9633909, COVERAGE_USER_HIT: 0.2223450, USERS_IN_GT: 0.9633909, DIVERSITY_GINI: 0.1847498, SHANNON_ENTROPY: 11.5094249, RATIO_DIVERSITY_HERFINDAHL: 0.9982662, RATIO_DIVERSITY_GINI: 0.3654236, RATIO_SHANNON_ENTROPY: 0.8531799, RATIO_AVERAGE_POPULARITY: 1.7539323, RATIO_NOVELTY: 0.3488945, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'alpha': 0.7111226904191076, 'beta': 0.4700168607736217, 'topK': 782, 'implicit': False} - results: PRECISION: 0.0354295, PRECISION_RECALL_MIN_DEN: 0.0675764, RECALL: 0.0648250, MAP: 0.0153184, MAP_MIN_DEN: 0.0288287, MRR: 0.1149046, NDCG: 0.0690131, F1: 0.0458177, HIT_RATE: 0.2647800, ARHR_ALL_HITS: 0.1321330, NOVELTY: 0.0044012, AVERAGE_POPULARITY: 0.2371941, DIVERSITY_MEAN_INTER_LIST: 0.8756259, DIVERSITY_HERFINDAHL: 0.9875604, COVERAGE_ITEM: 0.7396662, COVERAGE_ITEM_HIT: 0.0436202, ITEMS_IN_GT: 0.9870241, COVERAGE_USER: 0.9633909, COVERAGE_USER_HIT: 0.2550866, USERS_IN_GT: 0.9633909, DIVERSITY_GINI: 0.0744616, SHANNON_ENTROPY: 8.9359115, RATIO_DIVERSITY_HERFINDAHL: 0.9878870, RATIO_DIVERSITY_GINI: 0.1472805, RATIO_SHANNON_ENTROPY: 0.6624084, RATIO_AVERAGE_POPULARITY: 4.6403854, RATIO_NOVELTY: 0.2963325, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'alpha': 0.819686643555641, 'beta': 0.597774314582846, 'topK': 721, 'implicit': False} - results: PRECISION: 0.0330557, PRECISION_RECALL_MIN_DEN: 0.0615088, RECALL: 0.0588205, MAP: 0.0140109, MAP_MIN_DEN: 0.0258083, MRR: 0.1051102, NDCG: 0.0641044, F1: 0.0423255, HIT_RATE: 0.2467523, ARHR_ALL_HITS: 0.1208750, NOVELTY: 0.0047593, AVERAGE_POPULARITY: 0.1734532, DIVERSITY_MEAN_INTER_LIST: 0.9249338, DIVERSITY_HERFINDAHL: 0.9924911, COVERAGE_ITEM: 0.7686783, COVERAGE_ITEM_HIT: 0.0481903, ITEMS_IN_GT: 0.9870241, COVERAGE_USER: 0.9633909, COVERAGE_USER_HIT: 0.2377189, USERS_IN_GT: 0.9633909, DIVERSITY_GINI: 0.1113785, SHANNON_ENTROPY: 9.9472396, RATIO_DIVERSITY_HERFINDAHL: 0.9928193, RATIO_DIVERSITY_GINI: 0.2202996, RATIO_SHANNON_ENTROPY: 0.7373770, RATIO_AVERAGE_POPULARITY: 3.3933802, RATIO_NOVELTY: 0.3204385, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'alpha': 0.11555043367416964, 'beta': 0.15610680170072258, 'topK': 782, 'implicit': True} - results: PRECISION: 0.0352550, PRECISION_RECALL_MIN_DEN: 0.0684204, RECALL: 0.0656826, MAP: 0.0154636, MAP_MIN_DEN: 0.0297948, MRR: 0.1179147, NDCG: 0.0660454, F1: 0.0458826, HIT_RATE: 0.2671238, ARHR_ALL_HITS: 0.1344902, NOVELTY: 0.0039418, AVERAGE_POPULARITY: 0.3145320, DIVERSITY_MEAN_INTER_LIST: 0.8054590, DIVERSITY_HERFINDAHL: 0.9805439, COVERAGE_ITEM: 0.2293222, COVERAGE_ITEM_HIT: 0.0335414, ITEMS_IN_GT: 0.9870241, COVERAGE_USER: 0.9633909, COVERAGE_USER_HIT: 0.2573446, USERS_IN_GT: 0.9633909, DIVERSITY_GINI: 0.0099690, SHANNON_ENTROPY: 7.2314670, RATIO_DIVERSITY_HERFINDAHL: 0.9808681, RATIO_DIVERSITY_GINI: 0.0197180, RATIO_SHANNON_ENTROPY: 0.5360600, RATIO_AVERAGE_POPULARITY: 6.1533996, RATIO_NOVELTY: 0.2654018, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'alpha': 0.02471249739860982, 'beta': 0.37614991279055887, 'topK': 687, 'implicit': False} - results: PRECISION: 0.0371151, PRECISION_RECALL_MIN_DEN: 0.0711957, RECALL: 0.0683514, MAP: 0.0168585, MAP_MIN_DEN: 0.0321036, MRR: 0.1265348, NDCG: 0.0703425, F1: 0.0481076, HIT_RATE: 0.2755267, ARHR_ALL_HITS: 0.1454185, NOVELTY: 0.0042027, AVERAGE_POPULARITY: 0.2600964, DIVERSITY_MEAN_INTER_LIST: 0.8728725, DIVERSITY_HERFINDAHL: 0.9872851, COVERAGE_ITEM: 0.5970947, COVERAGE_ITEM_HIT: 0.0448035, ITEMS_IN_GT: 0.9870241, COVERAGE_USER: 0.9633909, COVERAGE_USER_HIT: 0.2654400, USERS_IN_GT: 0.9633909, DIVERSITY_GINI: 0.0407015, SHANNON_ENTROPY: 8.4200432, RATIO_DIVERSITY_HERFINDAHL: 0.9876116, RATIO_DIVERSITY_GINI: 0.0805050, RATIO_SHANNON_ENTROPY: 0.6241677, RATIO_AVERAGE_POPULARITY: 5.0884397, RATIO_NOVELTY: 0.2829649, 
