SearchBayesianSkopt: New best config found. Config 0: {'epochs': 480, 'sgd_mode': 'sgd', 'topK': 176, 'lambda_i': 0.0003223669238302326, 'lambda_j': 0.00010500787398042745, 'learning_rate': 0.02163263769647419} - results: PRECISION: 0.0330024, PRECISION_RECALL_MIN_DEN: 0.0832121, RECALL: 0.0821256, MAP: 0.0148654, MAP_MIN_DEN: 0.0374072, MRR: 0.1161118, NDCG: 0.0680544, F1: 0.0470840, HIT_RATE: 0.2542323, ARHR_ALL_HITS: 0.1310584, NOVELTY: 0.0042862, AVERAGE_POPULARITY: 0.2000962, DIVERSITY_MEAN_INTER_LIST: 0.9453862, DIVERSITY_HERFINDAHL: 0.9945361, COVERAGE_ITEM: 0.4741094, COVERAGE_ITEM_HIT: 0.0323581, ITEMS_IN_GT: 0.9297344, COVERAGE_USER: 0.8953614, COVERAGE_USER_HIT: 0.2276298, USERS_IN_GT: 0.8953614, DIVERSITY_GINI: 0.0414460, SHANNON_ENTROPY: 9.2431353, RATIO_DIVERSITY_HERFINDAHL: 0.9950007, RATIO_DIVERSITY_GINI: 0.0945860, RATIO_SHANNON_ENTROPY: 0.7012500, RATIO_AVERAGE_POPULARITY: 3.3352749, RATIO_NOVELTY: 0.4365412, 
SearchBayesianSkopt: New best config found. Config 0: {'epochs': 15, 'sgd_mode': 'adam', 'topK': 162, 'lambda_i': 0.02893179462978207, 'lambda_j': 0.024830665584446056, 'learning_rate': 0.00022273197535303317} - results: PRECISION: 0.0290425, PRECISION_RECALL_MIN_DEN: 0.0755479, RECALL: 0.0746170, MAP: 0.0126498, MAP_MIN_DEN: 0.0330334, MRR: 0.1010645, NDCG: 0.0603337, F1: 0.0418112, HIT_RATE: 0.2301130, ARHR_ALL_HITS: 0.1127950, NOVELTY: 0.0038209, AVERAGE_POPULARITY: 0.3577728, DIVERSITY_MEAN_INTER_LIST: 0.7525744, DIVERSITY_HERFINDAHL: 0.9752554, COVERAGE_ITEM: 0.4725181, COVERAGE_ITEM_HIT: 0.0194638, ITEMS_IN_GT: 0.9297344, COVERAGE_USER: 0.8953614, COVERAGE_USER_HIT: 0.2060343, USERS_IN_GT: 0.8953614, DIVERSITY_GINI: 0.0261056, SHANNON_ENTROPY: 7.1912786, RATIO_DIVERSITY_HERFINDAHL: 0.9757111, RATIO_DIVERSITY_GINI: 0.0595769, RATIO_SHANNON_ENTROPY: 0.5455815, RATIO_AVERAGE_POPULARITY: 5.9634832, RATIO_NOVELTY: 0.3891591, 
SearchBayesianSkopt: New best config found. Config 1: {'epochs': 690, 'sgd_mode': 'adagrad', 'topK': 203, 'lambda_i': 0.013059269115507578, 'lambda_j': 0.05361280291442453, 'learning_rate': 0.00020991854599116224} - results: PRECISION: 0.0307676, PRECISION_RECALL_MIN_DEN: 0.0791675, RECALL: 0.0781733, MAP: 0.0137577, MAP_MIN_DEN: 0.0352754, MRR: 0.1082659, NDCG: 0.0640663, F1: 0.0441561, HIT_RATE: 0.2402007, ARHR_ALL_HITS: 0.1217246, NOVELTY: 0.0038858, AVERAGE_POPULARITY: 0.3323564, DIVERSITY_MEAN_INTER_LIST: 0.7968185, DIVERSITY_HERFINDAHL: 0.9796797, COVERAGE_ITEM: 0.4811278, COVERAGE_ITEM_HIT: 0.0214225, ITEMS_IN_GT: 0.9297344, COVERAGE_USER: 0.8953614, COVERAGE_USER_HIT: 0.2150664, USERS_IN_GT: 0.8953614, DIVERSITY_GINI: 0.0281206, SHANNON_ENTROPY: 7.4891291, RATIO_DIVERSITY_HERFINDAHL: 0.9801374, RATIO_DIVERSITY_GINI: 0.0641755, RATIO_SHANNON_ENTROPY: 0.5681786, RATIO_AVERAGE_POPULARITY: 5.5398335, RATIO_NOVELTY: 0.3957670, 
SearchBayesianSkopt: New best config found. Config 2: {'epochs': 690, 'sgd_mode': 'sgd', 'topK': 248, 'lambda_i': 0.0011754044602753815, 'lambda_j': 0.008156435395644855, 'learning_rate': 0.004100684707941373} - results: PRECISION: 0.0320634, PRECISION_RECALL_MIN_DEN: 0.0832920, RECALL: 0.0823190, MAP: 0.0143683, MAP_MIN_DEN: 0.0373732, MRR: 0.1138510, NDCG: 0.0675442, F1: 0.0461509, HIT_RATE: 0.2512543, ARHR_ALL_HITS: 0.1276428, NOVELTY: 0.0039778, AVERAGE_POPULARITY: 0.2899934, DIVERSITY_MEAN_INTER_LIST: 0.8649309, DIVERSITY_HERFINDAHL: 0.9864908, COVERAGE_ITEM: 0.4346105, COVERAGE_ITEM_HIT: 0.0257477, ITEMS_IN_GT: 0.9297344, COVERAGE_USER: 0.8953614, COVERAGE_USER_HIT: 0.2249634, USERS_IN_GT: 0.8953614, DIVERSITY_GINI: 0.0271800, SHANNON_ENTROPY: 8.0624244, RATIO_DIVERSITY_HERFINDAHL: 0.9869517, RATIO_DIVERSITY_GINI: 0.0620289, RATIO_SHANNON_ENTROPY: 0.6116728, RATIO_AVERAGE_POPULARITY: 4.8337117, RATIO_NOVELTY: 0.4051380, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'epochs': 45, 'sgd_mode': 'sgd', 'topK': 237, 'lambda_i': 0.0986151408809441, 'lambda_j': 0.00478827803002945, 'learning_rate': 0.009940723473394263} - results: PRECISION: 0.0301237, PRECISION_RECALL_MIN_DEN: 0.0779806, RECALL: 0.0770355, MAP: 0.0129180, MAP_MIN_DEN: 0.0331110, MRR: 0.1029269, NDCG: 0.0615330, F1: 0.0433111, HIT_RATE: 0.2396641, ARHR_ALL_HITS: 0.1150746, NOVELTY: 0.0040659, AVERAGE_POPULARITY: 0.2386450, DIVERSITY_MEAN_INTER_LIST: 0.9106936, DIVERSITY_HERFINDAHL: 0.9910669, COVERAGE_ITEM: 0.4195128, COVERAGE_ITEM_HIT: 0.0275840, ITEMS_IN_GT: 0.9297344, COVERAGE_USER: 0.8953614, COVERAGE_USER_HIT: 0.2145860, USERS_IN_GT: 0.8953614, DIVERSITY_GINI: 0.0258357, SHANNON_ENTROPY: 8.3706417, RATIO_DIVERSITY_HERFINDAHL: 0.9915300, RATIO_DIVERSITY_GINI: 0.0589611, RATIO_SHANNON_ENTROPY: 0.6350564, RATIO_AVERAGE_POPULARITY: 3.9778190, RATIO_NOVELTY: 0.4141124, 
SearchBayesianSkopt: New best config found. Config 4: {'epochs': 690, 'sgd_mode': 'sgd', 'topK': 260, 'lambda_i': 0.0008635421607493139, 'lambda_j': 0.006735913081523153, 'learning_rate': 0.00486534218637978} - results: PRECISION: 0.0322485, PRECISION_RECALL_MIN_DEN: 0.0837416, RECALL: 0.0827489, MAP: 0.0144334, MAP_MIN_DEN: 0.0375205, MRR: 0.1143200, NDCG: 0.0678347, F1: 0.0464103, HIT_RATE: 0.2526225, ARHR_ALL_HITS: 0.1282011, NOVELTY: 0.0039952, AVERAGE_POPULARITY: 0.2843742, DIVERSITY_MEAN_INTER_LIST: 0.8722754, DIVERSITY_HERFINDAHL: 0.9872252, COVERAGE_ITEM: 0.4352226, COVERAGE_ITEM_HIT: 0.0259926, ITEMS_IN_GT: 0.9297344, COVERAGE_USER: 0.8953614, COVERAGE_USER_HIT: 0.2261885, USERS_IN_GT: 0.8953614, DIVERSITY_GINI: 0.0278619, SHANNON_ENTROPY: 8.1423706, RATIO_DIVERSITY_HERFINDAHL: 0.9876865, RATIO_DIVERSITY_GINI: 0.0635852, RATIO_SHANNON_ENTROPY: 0.6177381, RATIO_AVERAGE_POPULARITY: 4.7400495, RATIO_NOVELTY: 0.4069107, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'epochs': 135, 'sgd_mode': 'adagrad', 'topK': 284, 'lambda_i': 0.00010005039199003487, 'lambda_j': 0.005776884320255641, 'learning_rate': 0.000489839238599243} - results: PRECISION: 0.0303625, PRECISION_RECALL_MIN_DEN: 0.0781167, RECALL: 0.0771297, MAP: 0.0133991, MAP_MIN_DEN: 0.0344258, MRR: 0.1054327, NDCG: 0.0627808, F1: 0.0435724, HIT_RATE: 0.2368739, ARHR_ALL_HITS: 0.1185374, NOVELTY: 0.0038565, AVERAGE_POPULARITY: 0.3449234, DIVERSITY_MEAN_INTER_LIST: 0.7762353, DIVERSITY_HERFINDAHL: 0.9776214, COVERAGE_ITEM: 0.4815359, COVERAGE_ITEM_HIT: 0.0207696, ITEMS_IN_GT: 0.9297344, COVERAGE_USER: 0.8953614, COVERAGE_USER_HIT: 0.2120877, USERS_IN_GT: 0.8953614, DIVERSITY_GINI: 0.0273042, SHANNON_ENTROPY: 7.3486002, RATIO_DIVERSITY_HERFINDAHL: 0.9780782, RATIO_DIVERSITY_GINI: 0.0623123, RATIO_SHANNON_ENTROPY: 0.5575171, RATIO_AVERAGE_POPULARITY: 5.7493048, RATIO_NOVELTY: 0.3927769, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'epochs': 15, 'sgd_mode': 'adam', 'topK': 174, 'lambda_i': 0.00010000375444044741, 'lambda_j': 0.0020280133655661953, 'learning_rate': 0.0022225910338735033} - results: PRECISION: 0.0296837, PRECISION_RECALL_MIN_DEN: 0.0773708, RECALL: 0.0764286, MAP: 0.0129044, MAP_MIN_DEN: 0.0336276, MRR: 0.1026516, NDCG: 0.0615258, F1: 0.0427600, HIT_RATE: 0.2343788, ARHR_ALL_HITS: 0.1148207, NOVELTY: 0.0038387, AVERAGE_POPULARITY: 0.3535139, DIVERSITY_MEAN_INTER_LIST: 0.7621688, DIVERSITY_HERFINDAHL: 0.9762148, COVERAGE_ITEM: 0.4794548, COVERAGE_ITEM_HIT: 0.0211776, ITEMS_IN_GT: 0.9297344, COVERAGE_USER: 0.8953614, COVERAGE_USER_HIT: 0.2098537, USERS_IN_GT: 0.8953614, DIVERSITY_GINI: 0.0276204, SHANNON_ENTROPY: 7.2998526, RATIO_DIVERSITY_HERFINDAHL: 0.9766709, RATIO_DIVERSITY_GINI: 0.0630340, RATIO_SHANNON_ENTROPY: 0.5538187, RATIO_AVERAGE_POPULARITY: 5.8924951, RATIO_NOVELTY: 0.3909640, 
SearchBayesianSkopt: New best config found. Config 7: {'epochs': 150, 'sgd_mode': 'adagrad', 'topK': 116, 'lambda_i': 0.0999035041910438, 'lambda_j': 0.001133491359312735, 'learning_rate': 0.0013313596244767724} - results: PRECISION: 0.0325437, PRECISION_RECALL_MIN_DEN: 0.0826358, RECALL: 0.0815237, MAP: 0.0148151, MAP_MIN_DEN: 0.0369538, MRR: 0.1144054, NDCG: 0.0672352, F1: 0.0465178, HIT_RATE: 0.2492421, ARHR_ALL_HITS: 0.1298129, NOVELTY: 0.0040321, AVERAGE_POPULARITY: 0.2639875, DIVERSITY_MEAN_INTER_LIST: 0.8920951, DIVERSITY_HERFINDAHL: 0.9892071, COVERAGE_ITEM: 0.4982658, COVERAGE_ITEM_HIT: 0.0244420, ITEMS_IN_GT: 0.9297344, COVERAGE_USER: 0.8953614, COVERAGE_USER_HIT: 0.2231617, USERS_IN_GT: 0.8953614, DIVERSITY_GINI: 0.0321024, SHANNON_ENTROPY: 8.1849163, RATIO_DIVERSITY_HERFINDAHL: 0.9896693, RATIO_DIVERSITY_GINI: 0.0732624, RATIO_SHANNON_ENTROPY: 0.6209659, RATIO_AVERAGE_POPULARITY: 4.4002366, RATIO_NOVELTY: 0.4106667, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'epochs': 15, 'sgd_mode': 'adagrad', 'topK': 590, 'lambda_i': 0.1, 'lambda_j': 0.0001, 'learning_rate': 0.04833430565264017} - results: PRECISION: 0.0211011, PRECISION_RECALL_MIN_DEN: 0.0502166, RECALL: 0.0493163, MAP: 0.0083693, MAP_MIN_DEN: 0.0196735, MRR: 0.0667951, NDCG: 0.0389407, F1: 0.0295560, HIT_RATE: 0.1699353, ARHR_ALL_HITS: 0.0745713, NOVELTY: 0.0047564, AVERAGE_POPULARITY: 0.0803540, DIVERSITY_MEAN_INTER_LIST: 0.9853231, DIVERSITY_HERFINDAHL: 0.9985297, COVERAGE_ITEM: 0.6487126, COVERAGE_ITEM_HIT: 0.0434978, ITEMS_IN_GT: 0.9297344, COVERAGE_USER: 0.8953614, COVERAGE_USER_HIT: 0.1521535, USERS_IN_GT: 0.8953614, DIVERSITY_GINI: 0.0847519, SHANNON_ENTROPY: 10.6849750, RATIO_DIVERSITY_HERFINDAHL: 0.9989962, RATIO_DIVERSITY_GINI: 0.1934166, RATIO_SHANNON_ENTROPY: 0.8106382, RATIO_AVERAGE_POPULARITY: 1.3393681, RATIO_NOVELTY: 0.4844345, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'epochs': 540, 'sgd_mode': 'adagrad', 'topK': 5, 'lambda_i': 0.0001, 'lambda_j': 0.05521548861482702, 'learning_rate': 0.0025983135542651044} - results: PRECISION: 0.0300325, PRECISION_RECALL_MIN_DEN: 0.0749402, RECALL: 0.0739418, MAP: 0.0134294, MAP_MIN_DEN: 0.0338690, MRR: 0.1062741, NDCG: 0.0617517, F1: 0.0427155, HIT_RATE: 0.2346739, ARHR_ALL_HITS: 0.1191943, NOVELTY: 0.0045712, AVERAGE_POPULARITY: 0.1826256, DIVERSITY_MEAN_INTER_LIST: 0.9466305, DIVERSITY_HERFINDAHL: 0.9946605, COVERAGE_ITEM: 0.6177419, COVERAGE_ITEM_HIT: 0.0303995, ITEMS_IN_GT: 0.9297344, COVERAGE_USER: 0.8953614, COVERAGE_USER_HIT: 0.2101179, USERS_IN_GT: 0.8953614, DIVERSITY_GINI: 0.0919220, SHANNON_ENTROPY: 9.9663494, RATIO_DIVERSITY_HERFINDAHL: 0.9951252, RATIO_DIVERSITY_GINI: 0.2097800, RATIO_SHANNON_ENTROPY: 0.7561181, RATIO_AVERAGE_POPULARITY: 3.0440673, RATIO_NOVELTY: 0.4655760, 
