SearchBayesianSkopt: New best config found. Config 0: {'alpha': 0.3895298340788693, 'beta': 0.2581009752681969, 'topK': 552, 'implicit': True} - results: PRECISION: 0.0338861, PRECISION_RECALL_MIN_DEN: 0.0848493, RECALL: 0.0837098, MAP: 0.0150087, MAP_MIN_DEN: 0.0377932, MRR: 0.1148599, NDCG: 0.0687053, F1: 0.0482431, HIT_RATE: 0.2569140, ARHR_ALL_HITS: 0.1309018, NOVELTY: 0.0044028, AVERAGE_POPULARITY: 0.2504306, DIVERSITY_MEAN_INTER_LIST: 0.8915417, DIVERSITY_HERFINDAHL: 0.9891518, COVERAGE_ITEM: 0.8851757, COVERAGE_ITEM_HIT: 0.0346024, ITEMS_IN_GT: 0.9278165, COVERAGE_USER: 0.8937760, COVERAGE_USER_HIT: 0.2296236, USERS_IN_GT: 0.8937760, DIVERSITY_GINI: 0.1334023, SHANNON_ENTROPY: 9.4420075, RATIO_DIVERSITY_HERFINDAHL: 0.9896143, RATIO_DIVERSITY_GINI: 0.3046675, RATIO_SHANNON_ENTROPY: 0.7164705, RATIO_AVERAGE_POPULARITY: 4.1379538, RATIO_NOVELTY: 0.4485006, 
SearchBayesianSkopt: New best config found. Config 0: {'alpha': 0.2186215488563708, 'beta': 0.6974201043709887, 'topK': 799, 'implicit': False} - results: PRECISION: 0.0202892, PRECISION_RECALL_MIN_DEN: 0.0409351, RECALL: 0.0399307, MAP: 0.0086046, MAP_MIN_DEN: 0.0169622, MRR: 0.0617631, NDCG: 0.0341240, F1: 0.0269068, HIT_RATE: 0.1462090, ARHR_ALL_HITS: 0.0727457, NOVELTY: 0.0060632, AVERAGE_POPULARITY: 0.0380852, DIVERSITY_MEAN_INTER_LIST: 0.9945498, DIVERSITY_HERFINDAHL: 0.9994523, COVERAGE_ITEM: 0.8412698, COVERAGE_ITEM_HIT: 0.0471294, ITEMS_IN_GT: 0.9278165, COVERAGE_USER: 0.8937760, COVERAGE_USER_HIT: 0.1306781, USERS_IN_GT: 0.8937760, DIVERSITY_GINI: 0.2785223, SHANNON_ENTROPY: 12.8396150, RATIO_DIVERSITY_HERFINDAHL: 0.9999197, RATIO_DIVERSITY_GINI: 0.6360962, RATIO_SHANNON_ENTROPY: 0.9742849, RATIO_AVERAGE_POPULARITY: 0.6292957, RATIO_NOVELTY: 0.6176413, 
SearchBayesianSkopt: New best config found. Config 1: {'alpha': 0.4305803397723811, 'beta': 0.5314967897635798, 'topK': 438, 'implicit': False} - results: PRECISION: 0.0323622, PRECISION_RECALL_MIN_DEN: 0.0768233, RECALL: 0.0756583, MAP: 0.0147457, MAP_MIN_DEN: 0.0347744, MRR: 0.1092755, NDCG: 0.0637096, F1: 0.0453334, HIT_RATE: 0.2376435, ARHR_ALL_HITS: 0.1265655, NOVELTY: 0.0050836, AVERAGE_POPULARITY: 0.1540177, DIVERSITY_MEAN_INTER_LIST: 0.9601636, DIVERSITY_HERFINDAHL: 0.9960138, COVERAGE_ITEM: 0.8521647, COVERAGE_ITEM_HIT: 0.0421104, ITEMS_IN_GT: 0.9278165, COVERAGE_USER: 0.8937760, COVERAGE_USER_HIT: 0.2124000, USERS_IN_GT: 0.8937760, DIVERSITY_GINI: 0.2087185, SHANNON_ENTROPY: 11.2394814, RATIO_DIVERSITY_HERFINDAHL: 0.9964795, RATIO_DIVERSITY_GINI: 0.4766765, RATIO_SHANNON_ENTROPY: 0.8528649, RATIO_AVERAGE_POPULARITY: 2.5448895, RATIO_NOVELTY: 0.5178526, 
SearchBayesianSkopt: New best config found. Config 2: {'alpha': 0.10580515262873938, 'beta': 0.543296050059042, 'topK': 202, 'implicit': False} - results: PRECISION: 0.0344371, PRECISION_RECALL_MIN_DEN: 0.0851512, RECALL: 0.0839607, MAP: 0.0155590, MAP_MIN_DEN: 0.0380083, MRR: 0.1165615, NDCG: 0.0692885, F1: 0.0488415, HIT_RATE: 0.2564840, ARHR_ALL_HITS: 0.1343099, NOVELTY: 0.0047438, AVERAGE_POPULARITY: 0.1630836, DIVERSITY_MEAN_INTER_LIST: 0.9574948, DIVERSITY_HERFINDAHL: 0.9957469, COVERAGE_ITEM: 0.8191537, COVERAGE_ITEM_HIT: 0.0493328, ITEMS_IN_GT: 0.9278165, COVERAGE_USER: 0.8937760, COVERAGE_USER_HIT: 0.2292392, USERS_IN_GT: 0.8937760, DIVERSITY_GINI: 0.1300533, SHANNON_ENTROPY: 10.4915731, RATIO_DIVERSITY_HERFINDAHL: 0.9962125, RATIO_DIVERSITY_GINI: 0.2970190, RATIO_SHANNON_ENTROPY: 0.7961127, RATIO_AVERAGE_POPULARITY: 2.6946893, RATIO_NOVELTY: 0.4832385, 
SearchBayesianSkopt: New best config found. Config 3: {'alpha': 0.6744574418671411, 'beta': 0.32138197701143084, 'topK': 229, 'implicit': True} - results: PRECISION: 0.0353321, PRECISION_RECALL_MIN_DEN: 0.0888618, RECALL: 0.0877005, MAP: 0.0158484, MAP_MIN_DEN: 0.0398909, MRR: 0.1204370, NDCG: 0.0721336, F1: 0.0503711, HIT_RATE: 0.2658908, ARHR_ALL_HITS: 0.1377813, NOVELTY: 0.0044400, AVERAGE_POPULARITY: 0.2326273, DIVERSITY_MEAN_INTER_LIST: 0.9121280, DIVERSITY_HERFINDAHL: 0.9912104, COVERAGE_ITEM: 0.8178888, COVERAGE_ITEM_HIT: 0.0374179, ITEMS_IN_GT: 0.9278165, COVERAGE_USER: 0.8937760, COVERAGE_USER_HIT: 0.2376468, USERS_IN_GT: 0.8937760, DIVERSITY_GINI: 0.1179856, SHANNON_ENTROPY: 9.5936796, RATIO_DIVERSITY_HERFINDAHL: 0.9916739, RATIO_DIVERSITY_GINI: 0.2694585, RATIO_SHANNON_ENTROPY: 0.7279795, RATIO_AVERAGE_POPULARITY: 3.8437850, RATIO_NOVELTY: 0.4522947, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'alpha': 0.14695696854767284, 'beta': 0.9673162105410553, 'topK': 121, 'implicit': False} - results: PRECISION: 0.0091139, PRECISION_RECALL_MIN_DEN: 0.0195561, RECALL: 0.0190927, MAP: 0.0035019, MAP_MIN_DEN: 0.0076830, MRR: 0.0284003, NDCG: 0.0157726, F1: 0.0123382, HIT_RATE: 0.0745021, ARHR_ALL_HITS: 0.0314569, NOVELTY: 0.0064836, AVERAGE_POPULARITY: 0.0075944, DIVERSITY_MEAN_INTER_LIST: 0.9929929, DIVERSITY_HERFINDAHL: 0.9992966, COVERAGE_ITEM: 0.6432040, COVERAGE_ITEM_HIT: 0.0397437, ITEMS_IN_GT: 0.9278165, COVERAGE_USER: 0.8937760, COVERAGE_USER_HIT: 0.0665882, USERS_IN_GT: 0.8937760, DIVERSITY_GINI: 0.1533810, SHANNON_ENTROPY: 11.9844274, RATIO_DIVERSITY_HERFINDAHL: 0.9997639, RATIO_DIVERSITY_GINI: 0.3502954, RATIO_SHANNON_ENTROPY: 0.9093922, RATIO_AVERAGE_POPULARITY: 0.1254854, RATIO_NOVELTY: 0.6604732, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'alpha': 0.8417923500396957, 'beta': 0.7692391036093376, 'topK': 381, 'implicit': True} - results: PRECISION: 0.0124627, PRECISION_RECALL_MIN_DEN: 0.0237950, RECALL: 0.0230305, MAP: 0.0048868, MAP_MIN_DEN: 0.0091522, MRR: 0.0347491, NDCG: 0.0193678, F1: 0.0161734, HIT_RATE: 0.0909775, ARHR_ALL_HITS: 0.0411138, NOVELTY: 0.0063456, AVERAGE_POPULARITY: 0.0154559, DIVERSITY_MEAN_INTER_LIST: 0.9978386, DIVERSITY_HERFINDAHL: 0.9997812, COVERAGE_ITEM: 0.7942629, COVERAGE_ITEM_HIT: 0.0335414, ITEMS_IN_GT: 0.9278165, COVERAGE_USER: 0.8937760, COVERAGE_USER_HIT: 0.0813135, USERS_IN_GT: 0.8937760, DIVERSITY_GINI: 0.3348886, SHANNON_ENTROPY: 13.3006239, RATIO_DIVERSITY_HERFINDAHL: 1.0002487, RATIO_DIVERSITY_GINI: 0.7648271, RATIO_SHANNON_ENTROPY: 1.0092668, RATIO_AVERAGE_POPULARITY: 0.2553840, RATIO_NOVELTY: 0.6464145, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'alpha': 0.7835896207876937, 'beta': 0.6098371609796763, 'topK': 451, 'implicit': False} - results: PRECISION: 0.0259682, PRECISION_RECALL_MIN_DEN: 0.0561121, RECALL: 0.0549468, MAP: 0.0114386, MAP_MIN_DEN: 0.0238298, MRR: 0.0820336, NDCG: 0.0463282, F1: 0.0352684, HIT_RATE: 0.1870347, ARHR_ALL_HITS: 0.0966292, NOVELTY: 0.0057343, AVERAGE_POPULARITY: 0.0810939, DIVERSITY_MEAN_INTER_LIST: 0.9883583, DIVERSITY_HERFINDAHL: 0.9988332, COVERAGE_ITEM: 0.8375566, COVERAGE_ITEM_HIT: 0.0380708, ITEMS_IN_GT: 0.9278165, COVERAGE_USER: 0.8937760, COVERAGE_USER_HIT: 0.1671671, USERS_IN_GT: 0.8937760, DIVERSITY_GINI: 0.3052495, SHANNON_ENTROPY: 12.6136894, RATIO_DIVERSITY_HERFINDAHL: 0.9993002, RATIO_DIVERSITY_GINI: 0.6971366, RATIO_SHANNON_ENTROPY: 0.9571414, RATIO_AVERAGE_POPULARITY: 1.3399432, RATIO_NOVELTY: 0.5841371, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'alpha': 0.10949148783817089, 'beta': 0.19140352797512056, 'topK': 599, 'implicit': True} - results: PRECISION: 0.0337920, PRECISION_RECALL_MIN_DEN: 0.0849334, RECALL: 0.0838055, MAP: 0.0148477, MAP_MIN_DEN: 0.0374579, MRR: 0.1141254, NDCG: 0.0683920, F1: 0.0481636, HIT_RATE: 0.2578816, ARHR_ALL_HITS: 0.1297869, NOVELTY: 0.0042138, AVERAGE_POPULARITY: 0.2640305, DIVERSITY_MEAN_INTER_LIST: 0.8812315, DIVERSITY_HERFINDAHL: 0.9881208, COVERAGE_ITEM: 0.8099727, COVERAGE_ITEM_HIT: 0.0346840, ITEMS_IN_GT: 0.9278165, COVERAGE_USER: 0.8937760, COVERAGE_USER_HIT: 0.2304884, USERS_IN_GT: 0.8937760, DIVERSITY_GINI: 0.0849573, SHANNON_ENTROPY: 8.8755760, RATIO_DIVERSITY_HERFINDAHL: 0.9885828, RATIO_DIVERSITY_GINI: 0.1940277, RATIO_SHANNON_ENTROPY: 0.6734890, RATIO_AVERAGE_POPULARITY: 4.3626709, RATIO_NOVELTY: 0.4292523, 
SearchBayesianSkopt: New best config found. Config 8: {'alpha': 0.1474570749704576, 'beta': 0.16969088508268895, 'topK': 112, 'implicit': True} - results: PRECISION: 0.0366006, PRECISION_RECALL_MIN_DEN: 0.0923961, RECALL: 0.0911617, MAP: 0.0163743, MAP_MIN_DEN: 0.0411398, MRR: 0.1232143, NDCG: 0.0744710, F1: 0.0522310, HIT_RATE: 0.2735776, ARHR_ALL_HITS: 0.1415441, NOVELTY: 0.0042858, AVERAGE_POPULARITY: 0.2131521, DIVERSITY_MEAN_INTER_LIST: 0.9334122, DIVERSITY_HERFINDAHL: 0.9933387, COVERAGE_ITEM: 0.6429183, COVERAGE_ITEM_HIT: 0.0444771, ITEMS_IN_GT: 0.9278165, COVERAGE_USER: 0.8937760, COVERAGE_USER_HIT: 0.2445170, USERS_IN_GT: 0.8937760, DIVERSITY_GINI: 0.0518396, SHANNON_ENTROPY: 9.1963888, RATIO_DIVERSITY_HERFINDAHL: 0.9938032, RATIO_DIVERSITY_GINI: 0.1183926, RATIO_SHANNON_ENTROPY: 0.6978326, RATIO_AVERAGE_POPULARITY: 3.5219892, RATIO_NOVELTY: 0.4365844, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'alpha': 0.010973159626032849, 'beta': 0.30886482965888856, 'topK': 17, 'implicit': True} - results: PRECISION: 0.0318193, PRECISION_RECALL_MIN_DEN: 0.0773395, RECALL: 0.0761553, MAP: 0.0148217, MAP_MIN_DEN: 0.0364913, MRR: 0.1137836, NDCG: 0.0655131, F1: 0.0448848, HIT_RATE: 0.2416212, ARHR_ALL_HITS: 0.1294966, NOVELTY: 0.0050217, AVERAGE_POPULARITY: 0.1031258, DIVERSITY_MEAN_INTER_LIST: 0.9846205, DIVERSITY_HERFINDAHL: 0.9984594, COVERAGE_ITEM: 0.5550659, COVERAGE_ITEM_HIT: 0.0679806, ITEMS_IN_GT: 0.9278165, COVERAGE_USER: 0.8937760, COVERAGE_USER_HIT: 0.2159552, USERS_IN_GT: 0.8937760, DIVERSITY_GINI: 0.1307148, SHANNON_ENTROPY: 11.4286958, RATIO_DIVERSITY_HERFINDAHL: 0.9989263, RATIO_DIVERSITY_GINI: 0.2985298, RATIO_SHANNON_ENTROPY: 0.8672227, RATIO_AVERAGE_POPULARITY: 1.7039841, RATIO_NOVELTY: 0.5115466, 
